INSERT INTO PT_Availability (ct_userid, avail_sd, avail_ed) VALUES
('aneildy', '2020-10-05', '2020-10-05'),
('aneildy', '2020-10-10', '2020-10-13'),
('aneildy', '2020-10-14', '2020-10-14'),
('aneildy', '2020-10-15', '2020-10-18'),
('aneildy', '2020-11-05', '2020-11-08'),
('aneildy', '2020-11-09', '2020-11-10'),
('aneildy', '2020-11-11', '2020-11-15'),
('aneildy', '2020-11-16', '2020-11-20'),
('aneildy', '2020-11-28', '2020-11-30'),
('ncasarinios', '2020-10-02', '2020-10-02'),
('ncasarinios', '2020-10-15', '2020-10-20'),
('ncasarinios', '2020-10-23', '2020-10-25'),
('ncasarinios', '2020-10-29', '2020-10-29'),
('ncasarinios', '2020-11-03', '2020-11-05'),
('ncasarinios', '2020-11-08', '2020-11-08'),
('ncasarinios', '2020-11-11', '2020-11-13'),
('ncasarinios', '2020-11-22', '2020-11-23'),
('ncasarinios', '2020-11-26', '2020-11-26'),
('wskiltonj7', '2020-10-03', '2020-10-03'),
('wskiltonj7', '2020-10-07', '2020-10-08'),
('wskiltonj7', '2020-10-10', '2020-10-13'),
('wskiltonj7', '2020-10-20', '2020-10-21'),
('wskiltonj7', '2020-10-22', '2020-10-23'),
('wskiltonj7', '2020-10-27', '2020-10-27'),
('wskiltonj7', '2020-10-30', '2020-10-30'),
('wskiltonj7', '2020-10-31', '2020-10-31'),
('wskiltonj7', '2020-11-06', '2020-11-10'),
('wskiltonj7', '2020-11-23', '2020-11-24'),
('aculrossjk', '2020-10-05', '2020-10-07'),
('aculrossjk', '2020-10-16', '2020-10-18'),
('aculrossjk', '2020-10-22', '2020-10-25'),
('aculrossjk', '2020-10-27', '2020-10-27'),
('aculrossjk', '2020-10-30', '2020-10-30'),
('aculrossjk', '2020-11-05', '2020-11-05'),
('aculrossjk', '2020-11-12', '2020-11-16'),
('aculrossjk', '2020-11-17', '2020-11-17'),
('aculrossjk', '2020-11-21', '2020-11-24'),
('aculrossjk', '2020-11-25', '2020-11-25'),
('aculrossjk', '2020-11-28', '2020-11-30'),
('sgeorgiuscz', '2020-10-09', '2020-10-11'),
('sgeorgiuscz', '2020-10-13', '2020-10-13'),
('sgeorgiuscz', '2020-10-19', '2020-10-20'),
('sgeorgiuscz', '2020-10-23', '2020-10-25'),
('sgeorgiuscz', '2020-10-28', '2020-10-28'),
('sgeorgiuscz', '2020-11-28', '2020-11-28'),
('sgeorgiuscz', '2020-11-29', '2020-11-29'),
('psiretqb', '2020-10-07', '2020-10-12'),
('psiretqb', '2020-10-14', '2020-10-14'),
('psiretqb', '2020-10-16', '2020-10-16'),
('psiretqb', '2020-10-18', '2020-10-20'),
