INSERT INTO PT_validpet (ct_userid, pet_type, price) VALUES
('vsawfoot8p', 'Dog', 94.59864304175132),
('mlaugheranqx', 'Dog', 97.51880593051563),
('lwhiffen4q', 'Dog', 80),
('cvostb1', 'Dog', 115.30076751210156),
('adoodsonh5', 'Dog', 111.09777593749085),
('spadrickpi', 'Dog', 80),
('bmarvelleyf7', 'Dog', 102.69779215783203),
('clongmuir5w', 'Dog', 106.12194436341562),
('ahulme7p', 'Dog', 80),
('bpenellab4', 'Dog', 84.21126848057975),
('ocarlosfw', 'Dog', 80),
('foolahan5o', 'Dog', 95.91793718506418),
('bbingley20', 'Dog', 84.28294356849715),
('edinnis1c', 'Dog', 80),
('ahebbesbi', 'Dog', 94.76261793217336),
('mmanktelow54', 'Dog', 83.31258022586239),
('lgilliard1h', 'Dog', 111.38488346064243),
('ntumasianf8', 'Dog', 115.0469477545224),
('cbellinodo', 'Dog', 96.42082379192708),
('mbellwoodof', 'Dog', 106.60339427231045),
('tluigid', 'Dog', 102.18444358470458),
('koakhillpv', 'Dog', 102.44412937971687),
('rfosken3y', 'Dog', 131.56017481318565),
('pbrozssetc7', 'Dog', 90.9933924314343),
('ndinanei', 'Dog', 100.60565368573076),
('emacmillannr', 'Dog', 107.9818157856213),
('wdiniscocs', 'Dog', 96.3974043598054),
('tpiquardll', 'Dog', 113.42171494826562),
('kjestico7y', 'Dog', 99.86913776781913),
('ndrengkj', 'Dog', 114.43472123123207),
('thaibelk3', 'Dog', 80),
('lmanuaudg0', 'Dog', 116.38742876432649),
('fdecourtee', 'Dog', 80),
('frijkeseis8s', 'Dog', 106.05268539610462),
('irafteri8', 'Dog', 95.38082714136544),
('enoddleji', 'Dog', 107.40897822477137),
('mquesneei', 'Dog', 108.64528838793967),
('esimmansr2', 'Dog', 116.65037315554986),
('trapob', 'Dog', 125.23851856368984),
('dcuttlesqz', 'Dog', 92.43592992387529),
('nclamptonmq', 'Dog', 104.95579526245851),
('aspikins68', 'Dog', 87.9014477956108),
('mdealtry63', 'Dog', 83.03337880074844),
('syarranton1f', 'Dog', 80),
('aguiduzziea', 'Dog', 89.32978802572508),
('rroseveare7q', 'Dog', 93.73407200999065),
('atrembathmu', 'Dog', 121.18347235856646),
('tbale1x', 'Dog', 103.52454952046868),
('esauntfq', 'Dog', 94.09882171931118),
('abyart23', 'Dog', 95.87185184641055),
('agresley4z', 'Dog', 142.1550639147345),
('scamilio6b', 'Dog', 110.58602671310139),
('hablott49', 'Dog', 89.32124389817523),
('kleadbitter13', 'Dog', 80),
('adellenbachpp', 'Dog', 132.80661788766645),
('madanet4k', 'Dog', 106.09541235343718),
('ascorerqa', 'Dog', 112.18046014820666),
('mvalintinedz', 'Dog', 88.70494795222237),
('vzimmermannseu', 'Dog', 120.8883112906235),
('mcoghlin85', 'Dog', 115.61777790688372),
('aklishince', 'Dog', 88.72840856113066),
('codlinnh', 'Dog', 100.72779932170499),
('agerramlp', 'Dog', 103.92441432200421),
('ltortice3s', 'Dog', 96.33295711124408),
('tfarryangt', 'Dog', 80),
('nalcoranh1', 'Dog', 93.96524072331086),
('rmccarrell65', 'Dog', 123.12718984618019),
('cbraveryj4', 'Dog', 80.828916750322),
('wgammett41', 'Dog', 82.13923627129532),
('edumbletonn5', 'Dog', 80),
('cskaceliq', 'Dog', 112.71200067625173),
('ftownsleyet', 'Dog', 80),
('sbernardini86', 'Dog', 140.51247066017493),
('bghosth0', 'Dog', 80),
('ftoten5c', 'Dog', 109.88001478208628),
('bgrutg5', 'Dog', 114.24403009991714),
('etonbyeim', 'Dog', 103.41960036314006),
('lyabsleyi1', 'Dog', 91.42209425120168),
('moskehannq', 'Dog', 110.93784055563177),
('sjacklingg8', 'Dog', 114.42023938732211),
('bmereweathera4', 'Dog', 102.56489066236499),
('kmichin70', 'Dog', 94.90012762194678),
('bgrelliero', 'Dog', 80),
('lrobertacci6d', 'Dog', 80),
('scalafato59', 'Dog', 103.41237342083198),
('shutchenceqt', 'Dog', 85.90151267978497),
('bcolthard8q', 'Dog', 100.7905413752621),
('cbrattanok', 'Dog', 131.62631346328533),
('gmollene6o', 'Dog', 99.71435641382158),
('amapstonh7', 'Dog', 114.65524227320198),
('yeldredgef3', 'Dog', 92.42043205506575),
('bthompkinsfx', 'Dog', 81.48429126473198),
('smaddrellli', 'Dog', 83.49327245919781),
('tspatig83', 'Dog', 116.946876477619),
('kcottinghamjv', 'Dog', 80),
('nhallowes4p', 'Dog', 80),
('kfurby17', 'Dog', 128.49418249585975),
('tcrightondm', 'Dog', 92.92272739032977),
('tsneddona6', 'Dog', 94.18832919867678),
